id,name,type,selectors,parent,is_group,is_editable,is_required,ordering
b2032c7e-adf1-09cd-ac3b-52daab13d3ab,Input,,.M_EL_InputText,ba5adb79-0b53-04d7-9acb-5a3219841114,False,True,False,b0A
ed5a3838-6b8c-0018-a497-57bb81a05511,Label,,.M_EL_Label,ba5adb79-0b53-04d7-9acb-5a3219841114,False,True,False,b0B
3ed458ca-ce0f-01f7-b7fe-427895279f54,Multi steps,,.M_EL_MultiSteps,ba5adb79-0b53-04d7-9acb-5a3219841114,True,True,False,b0C
154e9d33-a838-0bc4-aed6-ddd24c111ed0,Steps,,.M_EL_Steps,3ed458ca-ce0f-01f7-b7fe-427895279f54,False,True,False,b0D
6800fb72-331f-0926-9333-137cb0ac34da,Step,,.M_EL_Step,3ed458ca-ce0f-01f7-b7fe-427895279f54,False,True,False,b0E
3295e0ec-4633-06d1-b60e-4baaddde1ae2,Forms,,.M_EL_Forms,3ed458ca-ce0f-01f7-b7fe-427895279f54,False,True,False,b0F
9adf1aa8-afb6-0afb-87c2-0e1fe047a741,Form step,,.M_EL_FormStep,3ed458ca-ce0f-01f7-b7fe-427895279f54,False,True,False,b0G
4e48111e-cd4b-0552-9001-20952f140103,Button,,.M_EL_FormStepButtonBack|.M_EL_FormStepButtonNext,3ed458ca-ce0f-01f7-b7fe-427895279f54,False,True,False,b0H
8234ef14-32e1-0dbc-b603-c1c81bc61496,Radio input,,.M_EL_RadioInput,0aba491f-bf49-0ce1-ae11-a5b8b78ec4cd,False,True,False,b0I
05fbeaf8-2ba9-0d9d-9c3b-36cd70256005,Select,,.M_EL_Select,ba5adb79-0b53-04d7-9acb-5a3219841114,True,True,False,b0J
df2d64e1-e3ee-0c6d-8660-bb7cc614cad7,Option,,.M_EL_Option,05fbeaf8-2ba9-0d9d-9c3b-36cd70256005,False,True,False,b0K
9b8bc2c1-08f4-0644-a198-c9b4dfb77168,Submit button,,.M_EL_SubmitButton,ba5adb79-0b53-04d7-9acb-5a3219841114,True,True,False,b0L
9c9cd6b9-a966-0f5a-9dda-bb579a6c0dbc,Submit label,,.M_EL_SubmitLabel,9b8bc2c1-08f4-0644-a198-c9b4dfb77168,True,True,False,b0M
52919ea1-dc2a-087c-b3ed-9cdfc0dfa3e5,Submit loading,,.M_EL_SubmitLoading,9b8bc2c1-08f4-0644-a198-c9b4dfb77168,True,True,False,b0N
2abe4d7d-6b0d-0ef6-98cd-435b52598cf9,Text area,,.M_EL_TextArea,ba5adb79-0b53-04d7-9acb-5a3219841114,False,True,False,b0O
9199c944-4081-0d5b-9997-683614c79902,Icon,,.M_EL_Icon,,False,True,False,b0P
ed14cb45-d01b-0fd5-bdb1-173089b7eca0,Icon box,,.M_EL_Icon__IconBox,,False,True,False,b0Q
c7f25ef0-944c-0970-aa19-f06f487a2717,Loop,,.M_EL_Loop,,True,True,False,b0R
cdcc719a-b0c5-0749-bcd9-4afe63cb1ef9,Pagination,,.M_EL_LoopPagination,c7f25ef0-944c-0970-aa19-f06f487a2717,False,True,False,b0S
364c2cfa-bcc1-0d2e-956f-579b07c5ee4b,Numbers,,.M_EL_LoopPaginationNumbers,c7f25ef0-944c-0970-aa19-f06f487a2717,False,True,False,b0T
57b78edf-a0c6-0d28-90b7-df46cee06d10,No result,,.M_EL_LoopNoResult,c7f25ef0-944c-0970-aa19-f06f487a2717,False,True,False,b0U
0c33aca6-67a0-029f-8be6-4e8d5aa28c3c,Items,,.M_EL_LoopItems,c7f25ef0-944c-0970-aa19-f06f487a2717,False,True,False,b0V
5e8a088d-bee4-0835-8493-a3152f9c641f,Item,,.M_EL_LoopItem,c7f25ef0-944c-0970-aa19-f06f487a2717,False,True,False,b0W
8b4f19bb-55a1-0a61-a4b9-af8e0dee197f,Pagination button,,.M_EL_LoopPaginationButtonPrevious|.M_EL_LoopPaginationButtonNext,c7f25ef0-944c-0970-aa19-f06f487a2717,False,True,False,b0X
86785945-a2de-0d7b-aeec-fb3dd4ba38da,Number,,.M_EL_LoopPaginationNumber,c7f25ef0-944c-0970-aa19-f06f487a2717,False,True,False,b0Y
ee488e25-50e4-0be6-8bde-080c69a88959,Slider,,.M_EL_Slider,,True,True,False,b0Z
