type,rule,allowed_children,nested_rule,declared_in
recaptcha,none,,yes,Mosaic/NodeTypes/Pro/Form/Form/MElements/Recaptcha/RecaptchaElementTypeFactory.php
section,any,,yes,Mosaic/NodeTypes/Section/SectionElementTypeFactory.php
select-input,complex,,yes,Mosaic/NodeTypes/Pro/Form/Form/MElements/Select/SelectElementTypeFactory.php
select-option,none,,yes,Mosaic/NodeTypes/Pro/Form/Form/MElements/Select/Option/OptionElementTypeFactory.php
slider,any,,,Mosaic/NodeTypes/Pro/Slider/SliderElementTypeFactory.php
slider-arrow-left,none,,,Mosaic/NodeTypes/Pro/Slider/SliderArrow/SliderArrowLeft/SliderArrowLeftElementTypeFactory.php
slider-arrow-right,none,,,Mosaic/NodeTypes/Pro/Slider/SliderArrow/SliderArrowRight/SliderArrowRightMElementTypeFactory.php
slider-loop-slides,allow,slider-slides,yes,Mosaic/NodeTypes/Pro/Slider/SliderLoopSlides/SliderLoopSlidesElementTypeFactory.php
slider-navigation,allow,slider-navigation-bullet,yes,Mosaic/NodeTypes/Pro/Slider/SliderNavigation/SliderNavigationElementTypeFactory.php
slider-navigation-bullet,none,,,Mosaic/NodeTypes/Pro/Slider/SliderNavigation/SliderNavigationBullet/SliderNavigationBulletElementTypeFactory.php
slider-slide,any,,yes,Mosaic/NodeTypes/Pro/Slider/SliderSlides/SliderSlide/SliderSlideElementTypeFactory.php
slider-slides,allow,slider-loop-slides|slider-slide,,Mosaic/NodeTypes/Pro/Slider/SliderSlides/SliderSlidesElementTypeFactory.php
styleguide-a,none,,,Mosaic/NodeTypes/SG/SGA/SGAElementTypeFactory.php
styleguide-entry-content,any,,yes,Mosaic/NodeTypes/SG/SGEntryContent/SGEntryContentElementTypeFactory.php
styleguide-entry-content-button,none,,yes,Mosaic/NodeTypes/SG/SGEntryContent/SGEntryContentButton/SGEntryContentButtonElementTypeFactory.php
styleguide-entry-content-code,none,,yes,Mosaic/NodeTypes/SG/SGEntryContent/SGEntryContentCode/SGEntryContentCodeElementTypeFactory.php
styleguide-entry-content-image,allow,styleguide-entry-content-image-caption|styleguide-entry-content-image-img,yes,Mosaic/NodeTypes/SG/SGEntryContent/SGEntryContentImage/SGEntryContentImageElementTypeFactory.php
styleguide-entry-content-image-caption,none,,,Mosaic/NodeTypes/SG/SGEntryContent/SGEntryContentImage/SGEntryContentImageCaption/SGEntryContentImageCaptionElementTypeFactory.php
styleguide-entry-content-image-img,none,,,Mosaic/NodeTypes/SG/SGEntryContent/SGEntryContentImage/SGEntryContentImageImg/SGEntryContentImageImgElementTypeFactory.php
styleguide-entry-content-list,allow,styleguide-entry-content-list-item,yes,Mosaic/NodeTypes/SG/SGEntryContent/SGEntryContentList/SGEntryContentListElementTypeFactory.php
styleguide-entry-content-list-item,none,,,Mosaic/NodeTypes/SG/SGEntryContent/SGEntryContentList/SGEntryContentListItem/SGEntryContentListItemElementTypeFactory.php
styleguide-entry-content-preformatted,none,,yes,Mosaic/NodeTypes/SG/SGEntryContent/SGEntryContentPreformatted/SGEntryContentPreformattedElementTypeFactory.php
